vote res
today i res 12017.310715, batch res 1182.010685
today i res 10530.289606, batch res 1029.937208
today i res 14249.739838, batch res 1395.362775
today i res 12717.332808, batch res 1265.434457
today i res 12769.588358, batch res 1168.442850
today i res 13082.581753, batch res 1196.425713
today i res 12352.396702, batch res 1276.473129
vote res
today i res 9116.559511, batch res 1015.000798
today i res 12135.642834, batch res 1182.010685
today i res 10625.890066, batch res 1196.425713
today i res 14514.464465, batch res 1913.734771
today i res 8879.200522, batch res 847.301931
today i res 12399.681971, batch res 1395.362775
today i res 10248.932138, batch res 1265.434457
today i res 10337.596980, batch res 1168.442850
today i res 9924.884093, batch res 1276.473129
today i res 8942.473599, batch res 1041.682237
vote res
today i res 8879.200522, batch res 847.301931
today i res 8353.568631, batch res 1265.434457
today i res 8738.672776, batch res 1196.425713
today i res 12595.573189, batch res 1913.734771
today i res 8885.646149, batch res 1168.442850
today i res 10494.829363, batch res 1395.362775
today i res 9116.559511, batch res 1015.000798
today i res 8821.225541, batch res 948.194202
today i res 12135.642834, batch res 1182.010685
today i res 8942.473599, batch res 1041.682237
vote res
today i res 8821.225541, batch res 948.194202
today i res 7197.060956, batch res 1166.364198
today i res 10524.302790, batch res 1913.734771
today i res 12135.642834, batch res 1182.010685
today i res 7622.285710, batch res 1485.804183
today i res 9007.063359, batch res 1395.362775
today i res 9116.559511, batch res 1015.000798
today i res 8295.846866, batch res 823.158921
today i res 8879.200522, batch res 847.301931
today i res 8942.473599, batch res 1041.682237
vote res
today i res 9764.804205, batch res 1182.010685
today i res 8626.446370, batch res 847.301931
today i res 8766.773542, batch res 1913.734771
today i res 7338.807328, batch res 948.194202
today i res 7622.285710, batch res 1485.804183
today i res 8032.912505, batch res 1395.362775
today i res 7050.149909, batch res 1015.000798
today i res 7152.793980, batch res 990.060255
today i res 6698.517530, batch res 1196.425713
today i res 7197.060956, batch res 1166.364198
vote res
today i res 7622.285710, batch res 1485.804183
today i res 7152.793980, batch res 990.060255
today i res 6297.869122, batch res 966.771960
today i res 6329.945113, batch res 1117.751969
today i res 6226.659188, batch res 1247.411471
today i res 7197.060956, batch res 1166.364198
today i res 7572.009098, batch res 1182.010685
today i res 7743.419148, batch res 847.301931
today i res 6261.403505, batch res 1106.856162
today i res 7735.960362, batch res 1913.734771
vote res
today i res 6297.869122, batch res 966.771960
today i res 7197.060956, batch res 1166.364198
today i res 7622.285710, batch res 1485.804183
today i res 7572.009098, batch res 1182.010685
today i res 6226.659188, batch res 1247.411471
today i res 7743.419148, batch res 847.301931
today i res 6143.265550, batch res 948.194202
today i res 7152.793980, batch res 990.060255
today i res 6329.945113, batch res 1117.751969
today i res 6261.403505, batch res 1106.856162
vote res
today i res 7743.419148, batch res 847.301931
today i res 5470.211968, batch res 1106.856162
today i res 7152.793980, batch res 990.060255
today i res 5446.339557, batch res 1166.364198
today i res 6015.532994, batch res 952.143460
today i res 6143.265550, batch res 948.194202
today i res 7572.009098, batch res 1182.010685
today i res 5859.390298, batch res 1015.000798
today i res 5508.565774, batch res 1485.804183
today i res 5530.996365, batch res 1117.751969
vote res
today i res 5394.979370, batch res 966.771960
today i res 5446.339557, batch res 1166.364198
today i res 5530.996365, batch res 1117.751969
today i res 7152.793980, batch res 990.060255
today i res 5224.712968, batch res 1182.010685
today i res 5508.565774, batch res 1485.804183
today i res 6721.775695, batch res 847.301931
today i res 6015.532994, batch res 952.143460
today i res 5470.211968, batch res 1106.856162
today i res 5202.617745, batch res 713.192824
vote res
today i res 5530.996365, batch res 1117.751969
today i res 5470.211968, batch res 1106.856162
today i res 4941.928627, batch res 743.940714
today i res 6721.775695, batch res 847.301931
today i res 5202.617745, batch res 713.192824
today i res 5188.857305, batch res 838.950329
today i res 5224.712968, batch res 1182.010685
today i res 5508.565774, batch res 1485.804183
today i res 5446.339557, batch res 1166.364198
today i res 5085.733014, batch res 948.194202
vote res
today i res 5508.565774, batch res 1485.804183
today i res 5470.211968, batch res 1106.856162
today i res 4594.882097, batch res 990.060255
today i res 5260.907305, batch res 847.301931
today i res 4519.260291, batch res 537.136364
today i res 5188.857305, batch res 838.950329
today i res 5530.996365, batch res 1117.751969
today i res 5446.339557, batch res 1166.364198
today i res 4892.977162, batch res 1002.816874
today i res 5202.617745, batch res 713.192824
vote res
today i res 3980.803852, batch res 537.136364
today i res 4060.481322, batch res 1182.010685
today i res 3964.880636, batch res 366.570685
today i res 3933.034205, batch res 838.950329
today i res 5260.907305, batch res 847.301931
today i res 3948.957421, batch res 713.192824
today i res 4144.222321, batch res 990.060255
today i res 3885.264559, batch res 331.036975
today i res 3917.110990, batch res 1117.751969
today i res 3901.187775, batch res 1485.804183
vote res
today i res 3869.341344, batch res 1106.856162
today i res 3933.034205, batch res 838.950329
today i res 3885.264559, batch res 331.036975
today i res 3964.880636, batch res 366.570685
today i res 3980.803852, batch res 537.136364
today i res 4144.222321, batch res 990.060255
today i res 3948.957421, batch res 713.192824
today i res 3901.187775, batch res 1485.804183
today i res 3917.110990, batch res 1117.751969
today i res 3902.503506, batch res 847.301931
vote res
today i res 2768.297125, batch res 366.570685
today i res 2746.061806, batch res 838.950329
today i res 2757.179466, batch res 713.192824
today i res 2734.944147, batch res 1117.751969
today i res 3217.922483, batch res 1913.734771
today i res 2876.204301, batch res 1395.362775
today i res 2723.826488, batch res 1485.804183
today i res 2745.599065, batch res 1182.010685
today i res 2779.414784, batch res 537.136364
today i res 3902.503506, batch res 847.301931
vote res
today i res 2757.179466, batch res 713.192824
today i res 3902.503506, batch res 847.301931
today i res 2779.414784, batch res 537.136364
today i res 2768.297125, batch res 366.570685
today i res 2745.599065, batch res 1182.010685
today i res 2723.826488, batch res 1485.804183
today i res 2734.944147, batch res 1117.751969
today i res 2712.708829, batch res 331.036975
today i res 2701.591170, batch res 1106.856162
today i res 2746.061806, batch res 838.950329
vote res
today i res 2712.708829, batch res 331.036975
today i res 2517.770793, batch res 847.301931
today i res 2757.179466, batch res 713.192824
today i res 2690.473511, batch res 1166.364198
today i res 2723.826488, batch res 1485.804183
today i res 2746.061806, batch res 838.950329
today i res 2734.944147, batch res 1117.751969
today i res 2779.414784, batch res 537.136364
today i res 2768.297125, batch res 366.570685
today i res 2701.591170, batch res 1106.856162
vote res
today i res 1708.260272, batch res 878.259594
today i res 2517.770793, batch res 847.301931
today i res 1905.573423, batch res 1913.734771
today i res 1995.502377, batch res 1121.343636
today i res 1704.588278, batch res 1071.942741
today i res 1982.781003, batch res 1068.028941
today i res 2004.183788, batch res 991.585924
today i res 1677.790590, batch res 723.802144
today i res 1766.942918, batch res 1182.010685
today i res 1673.000777, batch res 601.357135
vote res
today i res 2517.770793, batch res 847.301931
today i res 1673.000777, batch res 601.357135
today i res 1982.781003, batch res 1068.028941
today i res 1995.502377, batch res 1121.343636
today i res 2004.183788, batch res 991.585924
today i res 1280.451508, batch res 537.136364
today i res 1677.790590, batch res 723.802144
today i res 1670.249830, batch res 846.694349
today i res 1704.588278, batch res 1071.942741
today i res 1708.260272, batch res 878.259594
vote res
today i res 1270.207896, batch res 713.192824
today i res 1529.621665, batch res 847.301931
today i res 1254.842478, batch res 1485.804183
today i res 1356.839907, batch res 1121.343636
today i res 1349.388574, batch res 1068.028941
today i res 1265.086090, batch res 838.950329
today i res 1280.451508, batch res 537.136364
today i res 1362.942905, batch res 991.585924
today i res 1259.964284, batch res 1117.751969
today i res 1275.329702, batch res 366.570685
vote res
today i res 1068.029814, batch res 878.259594
today i res 1529.621665, batch res 847.301931
today i res 1072.319090, batch res 991.585924
today i res 1061.412392, batch res 1121.343636
today i res 1040.333024, batch res 846.694349
today i res 1061.779406, batch res 1071.942741
today i res 1048.911577, batch res 601.357135
today i res 1036.201271, batch res 218.368690
today i res 1048.544563, batch res 723.802144
today i res 1055.161984, batch res 1068.028941
vote res
today i res 1006.806349, batch res 252.545861
today i res 559.052768, batch res 126.842621
today i res 826.879834, batch res 1182.010685
today i res 1010.960099, batch res 197.757603
today i res 1029.811310, batch res 212.522578
today i res 831.415437, batch res 1395.362775
today i res 1019.267599, batch res 366.102678
today i res 1025.657560, batch res 209.986012
today i res 1036.201271, batch res 218.368690
